player,team,pos,salary,proj
Saints ,NO,DST,3800,9.8
Giants ,NYG,DST,3200,8.4
Browns ,CLE,DST,3100,8.1
Rams ,LA,DST,3700,8.1
Dolphins ,MIA,DST,4200,7.1
Bengals ,CIN,DST,2500,6.0
Cardinals ,ARI,DST,2900,6.0
Vikings ,MIN,DST,2300,5.9
Bills ,BUF,DST,2700,5.8
Jets ,NYJ,DST,2100,5.6
Broncos ,DEN,DST,2200,5.6
Raiders ,LV,DST,2300,5.2
Colts ,IND,DST,3000,5.2
Patriots ,NE,DST,2500,5.1
49ers ,SF,DST,2600,5.1
Titans ,TEN,DST,2400,4.8
Jaguars ,JAX,DST,2000,4.6
Panthers ,CAR,DST,2600,4.4
Chargers ,LAC,DST,2400,4.3
Chiefs ,KC,DST,2700,4.1
Falcons ,ATL,DST,2200,3.2
Buccaneers ,TB,DST,2800,3.0
Patrick Mahomes,KC,QB,8000,26.6
Kyler Murray,ARI,QB,8200,26.3
Josh Allen,BUF,QB,7600,24.8
Justin Herbert,LAC,QB,7200,24.1
Tom Brady,TB,QB,6600,22.1
Taysom Hill,NO,QB,6200,20.9
Matt Ryan,ATL,QB,5900,20.3
Ryan Fitzpatrick,MIA,QB,5500,20.2
Cam Newton,NE,QB,6400,19.9
Ryan Tannehill,TEN,QB,5800,19.7
Philip Rivers,IND,QB,6100,19.5
Daniel Jones,NYG,QB,5500,19.3
Derek Carr,LV,QB,5700,19.1
Jared Goff,LA,QB,6000,19.1
Baker Mayfield,CLE,QB,5300,18.8
Teddy Bridgewater,CAR,QB,6300,18.8
Kirk Cousins,MIN,QB,6100,18.6
Nick Mullens,SF,QB,5200,15.8
Sam Darnold,NYJ,QB,5100,15.3
Dalvin Cook,MIN,RB,9500,27.2
Josh Jacobs,LV,RB,7200,18.8
Derrick Henry,TEN,RB,7900,18.4
Alvin Kamara,NO,RB,8200,18.4
Austin Ekeler,LAC,RB,6100,17.6
Nick Chubb,CLE,RB,7100,17.2
James Robinson,JAX,RB,6300,16.6
Nyheim Hines,IND,RB,4600,15.9
Mike Davis,CAR,RB,6900,15.9
Kareem Hunt,CLE,RB,5600,13.7
Raheem Mostert,SF,RB,5600,12.9
Brian Hill,ATL,RB,4000,12.8
Giovani Bernard,CIN,RB,5700,12.3
Damien Harris,NE,RB,5800,12.2
Kenyan Drake,ARI,RB,5400,12.1
Jordan Wilkins,IND,RB,4000,12.0
Ronald Jones II,TB,RB,6100,11.8
Clyde Edwards-Helaire,KC,RB,6400,11.8
James White,NE,RB,4500,11.7
Leonard Fournette,TB,RB,4900,11.4
Matt Breida,MIA,RB,4000,11.0
Wayne Gallman Jr.,NYG,RB,5000,10.8
Devin Singletary,BUF,RB,4200,9.8
