id,full_name,team,pos,proj
1,Patrick Mahomes,KC,QB,25.5
2,Russell Wilson,SEA,QB,25.3
3,Davante Adams,GB,WR,23.9
4,Aaron Rodgers,GB,QB,23.8
5,Derrick Henry,TEN,RB,22
6,Tyreek Hill,KC,WR,21.9
7,Tom Brady,TB,QB,21.9
8,Deshaun Watson,HOU,QB,21.8
9,Josh Allen,BUF,QB,21.7
10,Dalvin Cook,MIN,RB,21.6
11,Justin Herbert,LAC,QB,21.3
12,Ryan Tannehill,TEN,QB,21.2
13,Kyler Murray,ARI,QB,20.8
14,Lamar Jackson,BAL,QB,20.7
15,Taysom Hill,NO,QB,20.7
16,Travis Kelce,KC,TE,19.8
17,Austin Ekeler,LAC,RB,19.7
18,Keenan Allen,LAC,WR,18.9
19,Matt Ryan,ATL,QB,18.8
20,Jared Goff,LA,QB,18.6
21,DK Metcalf,SEA,WR,18.6
22,Aaron Jones,GB,RB,18.5
23,A.J. Brown,TEN,WR,18.3
24,Ben Roethlisberger,PIT,QB,18.2
25,Stefon Diggs,BUF,WR,18.1
26,James Robinson,JAX,RB,17.8
27,Derek Carr,LV,QB,17.8
28,Matthew Stafford,DET,QB,17.7
29,Philip Rivers,IND,QB,17.7
30,Calvin Ridley,ATL,WR,17.5
31,Adam Thielen,MIN,WR,17.4
32,Michael Thomas,NO,WR,17.3
33,Tyler Lockett,SEA,WR,17.3
34,Kirk Cousins,MIN,QB,17.2
35,Justin Jefferson,MIN,WR,17
36,Mike Davis,CAR,RB,16.9
37,Teddy Bridgewater,CAR,QB,16.8
38,Mitchell Trubisky,CHI,QB,16.8
39,Julio Jones,ATL,WR,16.6
40,Robby Anderson,CAR,WR,16.6
41,Chris Carson,SEA,RB,16.6
42,Jalen Hurts,PHI,QB,16.5
43,Tua Tagovailoa,MIA,QB,16.2
44,Cam Newton,NE,QB,16.2
45,David Montgomery,CHI,RB,16
46,Baker Mayfield,CLE,QB,15.9
47,Cooper Kupp,LA,WR,15.9
48,DeAndre Hopkins,ARI,WR,15.8
49,Brandin Cooks,HOU,WR,15.8
50,Robert Woods,LA,WR,15.8
51,Nick Mullens,SF,QB,15.7
52,Andy Dalton,DAL,QB,15.6
53,Mike Glennon,JAX,QB,15.6
54,Diontae Johnson,PIT,WR,15.5
55,Terry McLaurin,WAS,WR,15.5
56,Darren Waller,LV,TE,15.4
57,Curtis Samuel,CAR,WR,15.1
58,Ezekiel Elliott,DAL,RB,15
59,Deebo Samuel,SF,WR,15
60,Marquise Brown,BAL,WR,14.9
61,Allen Robinson II,CHI,WR,14.9
62,Marvin Jones Jr.,DET,WR,14.9
63,DeVante Parker,MIA,WR,14.8
64,Alvin Kamara,NO,RB,14.8
65,Mike Evans,TB,WR,14.7
66,Jarvis Landry,CLE,WR,14.6
67,Ronald Jones II,TB,RB,14.4
68,Chris Godwin,TB,WR,14.4
69,Corey Davis,TEN,WR,14.4
70,Drew Lock,DEN,QB,14.3
71,Nick Chubb,CLE,RB,14.2
72,Alex Smith,WAS,QB,14.2
73,Jonathan Taylor,IND,RB,13.6
74,DJ Chark Jr.,JAX,WR,13.5
75,Kenyan Drake,ARI,RB,13.4
76,Brandon Allen,CIN,QB,13.4
77,Devontae Booker,LV,RB,13.4
78,Myles Gaskin,MIA,RB,13.4
79,Antonio Brown,TB,WR,13.4
80,Sam Darnold,NYJ,QB,13.3
81,Chase Claypool,PIT,WR,13.2
82,J.D. McKissic,WAS,RB,13.1
83,Jamison Crowder,NYJ,WR,13
84,JuJu Smith-Schuster,PIT,WR,12.9
85,Amari Cooper,DAL,WR,12.7
86,Giovani Bernard,CIN,RB,12.6
87,Colt McCoy,NYG,QB,12.6
88,Cole Beasley,BUF,WR,12.4
89,Brandon Aiyuk,SF,WR,12.4
90,Keke Coutee,HOU,WR,12.2
91,Tyler Boyd,CIN,WR,12.1
