player,pos,team,proj,salary
Atlanta,DST,atl,5.0,1900
New York J,DST,nyj,9.0,2000
Jacksonville,DST,jac,-1.0,2200
Denver,DST,den,3.0,2300
Cincinnati,DST,cin,2.0,2300
Dallas,DST,dal,10.0,2400
Chris Herndon,TE,nyj,13.4,2500
Darren Fells,TE,hou,9.2,2500
Stephen Anderson,TE,lac,8.8,2500
Harrison Bryant,TE,cle,6.7,2500
Donald Parham,TE,lac,6.7,2500
David Njoku,TE,cle,6.6,2500
Will Dissly,TE,sea,4.7,2500
Pharaoh Brown,TE,hou,3.9,2500
James O'Shaughnessy,TE,jac,3.8,2500
Mo Alie-Cox,TE,ind,3.0,2500
Greg Olsen,TE,sea,2.5,2500
Daniel Brown,TE,nyj,2.3,2500
Deon Yelder,TE,kan,2.2,2500
Luke Stocker,TE,atl,1.9,2500
Blake Bell,TE,dal,1.7,2500
Darrell Daniels,TE,ari,1.7,2500
Kahale Warring,TE,hou,1.3,2500
Ricky Seals-Jones,TE,kan,0.0,2500
Jeremy Sprinkle,TE,was,0.0,2500
Chris Manhertz,TE,car,0.0,2500
Jaeden Graham,TE,atl,0.0,2500
Andrew Beck,TE,den,0.0,2500
James Winchester,TE,kan,0.0,2500
Cethan Carter,TE,cin,0.0,2500
Ian Thomas,TE,car,0.0,2500
Eric Tomlinson,TE,bal,0.0,2500
J.P. Holtz,TE,chi,0.0,2500
Kaden Smith,TE,nyg,0.0,2500
Mason Schreck,TE,cin,0.0,2500
Eric Saubert,TE,jac,0.0,2500
Colin Thompson,TE,car,0.0,2500
Levine Toilolo,TE,nyg,0.0,2500
Nick Vannett,TE,den,0.0,2500
Troy Fumagalli,TE,den,0.0,2500
Stephen Carlson,TE,cle,0.0,2500
Nick Keizer,TE,kan,0.0,2500
Trevon Wesco,TE,nyj,0.0,2500
Marcus Baugh,TE,was,0.0,2500
New York G,DST,nyg,2.0,2500
Seattle,DST,sea,9.0,2600
Trey Burton,TE,ind,4.8,2700
Carolina,DST,car,21.0,2700
Jack Doyle,TE,ind,9.0,2800
Houston,DST,hou,-4.0,2800
Jacob Hollister,TE,sea,9.7,2900
Drew Sample,TE,cin,7.8,2900
Philadelphia,DST,phi,0.0,2900
DeSean Jackson,WR,phi,15.1,3000
Braxton Berrios,WR,nyj,15.0,3000
Alex Erickson,WR,cin,14.8,3000
DaeSean Hamilton,WR,den,12.7,3000
Laquon Treadwell,WR,atl,9.1,3000
Steven Sims Jr.,WR,was,8.2,3000
Dez Bryant,WR,bal,7.8,3000
Quez Watkins,WR,phi,7.7,3000
KeeSean Johnson,WR,ari,7.0,3000
Chris Conley,WR,jac,5.7,3000
Dante Pettis,WR,nyg,5.3,3000
Robert Foster,WR,was,3.8,3000
Diontae Spencer,WR,den,2.9,3000
C.J. Board,WR,nyg,2.6,3000
Marvin Hall,WR,cle,2.2,3000
Devin Duvernay,WR,bal,1.7,3000
Steven Mitchell,WR,hou,1.2,3000
Ashton Dulin,WR,ind,0.8,3000
Brandon Powell,WR,atl,0.2,3000
Byron Pringle,WR,kan,0.0,3000
Isaiah Wright,WR,was,0.0,3000
Brandon Zylstra,WR,car,0.0,3000
Freddie Swain,WR,sea,0.0,3000
Chris Moore,WR,bal,0.0,3000
Austin Mack,WR,nyg,0.0,3000
Malik Turner,WR,dal,0.0,3000
Antonio Gandy-Golden,WR,was,0.0,3000
Trent Sherfield,WR,ari,0.0,3000
Penny Hart,WR,sea,0.0,3000
Pharoh Cooper,WR,car,0.0,3000
Cedrick Wilson,WR,dal,0.0,3000
De'Michael Harris,WR,ind,0.0,3000
Cordarrelle Patterson,WR,chi,0.0,3000
K.J. Hill,WR,lac,0.0,3000
Mike Thomas,WR,cin,0.0,3000
Noah Brown,WR,dal,0.0,3000
Joe Reed,WR,lac,0.0,3000
Stanley Morgan,WR,cin,0.0,3000
Javon Wims,WR,chi,0.0,3000
Vyncint Smith,WR,nyj,0.0,3000
Christian Blake,WR,atl,0.0,3000
Jeff Smith,WR,nyj,0.0,3000
DeAndre Carter,WR,chi,0.0,3000
Ray-Ray McCloud,WR,pit,0.0,3000
Tyler Eifert,TE,jac,3.7,3000
Cole Kmet,TE,chi,3.5,3000
Washington,DST,was,9.0,3000
Mecole Hardman,WR,kan,7.4,3100
Miles Boykin,WR,bal,2.3,3100
Jimmy Graham,TE,chi,22.9,3100
Zach Ertz,TE,phi,6.3,3100
Jalen Guyton,WR,lac,7.3,3200
David Moore,WR,sea,5.5,3200
Alshon Jeffery,WR,phi,3.2,3200
