playerid,player,salary,opp,pos,team,proj,floor,ceil
21604,Ameer Abdullah,4000,DET,RB,MIN,7.39,1.8,14.6
37421,Alex Armah,4000,NOS,RB,CAR,0.97,-0.007500000000000007,5.0
982262,Andrew Beck,2500,LVR,TE,DEN,0.1,-0.225,4.3
982405,A.J. Brown,7200,HOU,WR,TEN,16.5,9.0,24.7
12322,Antonio Brown,5500,ATL,WR,TB,13.23,6.3,20.9
36905,Austin Carr,3000,CAR,WR,NO,2.64,0.41000000000000003,7.3
35683,Alex Collins,4500,SFO,RB,SEA,0.57,-0.10750000000000001,4.9
21757,Amari Cooper,5800,NYG,WR,DAL,13.21,6.0,20.8
11633,Andy Dalton,5600,NYG,QB,DAL,16.63,9.2,25.4
1844274,AJ Dillon,4900,CHI,RB,GB,1.98,0.245,7.1
982346,Ashton Dulin,3000,JAC,WR,IND,1.04,0.010000000000000009,5.0
37034,Austin Ekeler,7500,KCC,RB,LAC,19.87,9.6,30.8
35425,Alex Erickson,3300,BAL,WR,CIN,3.31,0.1,8.4
36910,Anthony Firkser,2800,HOU,TE,TEN,4.88,1.5,9.8
12897,A.J. Green,3900,BAL,WR,CIN,6.63,2.4,12.5
35576,Austin Hooper,3800,PIT,TE,CLE,8.33,3.7,14.0
1001990,Alec Ingold,4000,DEN,RB,LVR,1.43,0.10749999999999998,5.6
982789,Andy Isabella,3000,LAR,WR,ARI,5.24,1.4,11.1
35610,Andy Janovich,4000,PIT,RB,CLE,0.5,-0.125,4.8
36871,Aaron Jones,7100,CHI,RB,GB,17.34,7.3,27.5
328523,Allen Lazard,4200,CHI,WR,GB,9.01,3.7,15.8
1844610,Austin Mack,3000,DAL,WR,NYG,2.7,0.42500000000000004,7.3
982173,Alexander Mattison,6100,DET,RB,MIN,15.95,6.4,25.6
1844186,Anthony McFarland,4000,CLE,RB,PIT,0.6,-0.1,5.1
328212,Anthony Miller,3300,GBP,WR,CHI,6.27,1.8,11.7
13576,Alfred Morris,4000,DAL,RB,NYG,4.65,1.0,10.1
1844215,Artavis Pierce,4000,GBP,RB,CHI,0.13,-0.2175,4.4
11669,Adrian Peterson,4000,MIN,RB,DET,4.95,0.6,10.6
12526,Andre Roberts,3000,MIA,WR,BUF,3.79,0.1,8.5
18179,Allen Robinson,7700,GBP,WR,CHI,16.57,8.8,24.5
11601,Aaron Rodgers,7400,CHI,QB,GB,19.92,12.5,28.8
36857,Adam Shaheen,2500,BUF,TE,MIA,2.11,0.27749999999999997,5.9
16608,Anthony Sherman,4000,LAC,RB,KC,0.33,-0.16749999999999998,4.5
18116,Adam Thielen,7400,DET,WR,MIN,18.03,9.8,26.7
1844770,Adam Trautman,2500,CAR,TE,NO,5.17,1.6,10.0
35523,Brandon Allen,5000,BAL,QB,CIN,13.08,6.1,21.2
21793,Blake Bell,2500,NYG,TE,DAL,1.22,0.05499999999999999,4.3
328392,Braxton Berrios,3300,NEP,WR,NYJ,5.32,1.4,11.1
18281,Brandin Cooks,6900,TEN,WR,HOU,16.43,9.0,24.7
1849700,Bryan Edwards,3000,DEN,WR,LVR,1.78,0.195,6.6
36989,Brian Hill,4200,TBB,RB,ATL,5.92,1.2,11.5
328157,Baker Mayfield,5500,PIT,QB,CLE,17.0,9.2,26.4
21551,Breshad Perriman,3200,NEP,WR,NYJ,7.52,2.6,13.9
328853,Byron Pringle,3900,LAC,WR,KC,10.02,4.6,16.9
982054,Benny Snell,5100,CLE,RB,PIT,4.56,0.8,9.8
49097,Brandon Zylstra,3000,NOS,WR,CAR,0.59,-0.10250000000000001,4.4
1849790,Cam Akers,6100,ARI,RB,LAR,6.81,1.6,12.9
